ce1,ce2,ce3,ce4,ce5,ce6,iv3,iv6,ce_index1,ce_index2,ce_index3,ce_index4,ce_index5,ce_index6,iv_index3,iv_index6,ce_w1,ce_w2,ce_w3,ce_w4,ce_w5,ce_w6,iv_w3,iv_w6,order_treatment,order,chose_given_color2,chose_given_color5,chose_info3,chose_info6,date,feedback,PC_label,risk_premium,amb_premium,delta24,delta12,delta14,delta45,delta15,pdelta24,pdelta12,pdelta14,PR,PA,VR,VA,diffellsberg,diffPR,diffPA,diffVR,diffVA,amb_attitude,ones,constant
1.5,1.5,1.5,1.5,9.875,1.5,-1.1,-1.1,1,1,1,1,17,1,8,8,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,1,02-12,it was not useful and did not affect my answer,16,-8.5,0.0,0.0,0.0,0.0,-8.375,-8.375,0.0,0.0,0.0,0.0,8.375,-1.1,-1.1,0,0,16,-11,-11,neutral,1,All
5.5,5.5,1.5,1.5,1.5,1.5,-0.05,-0.05,3,3,1,1,1,1,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,0,02-14,"Since the bag of chips was always of unknown composition, I really had no idea of whether the information was the truth or a lie. I did not really use the ball draw information because I didn't know if it was true and even if it was true the bag of balls always had an unknown or 50-50 composition. I did not feel confident at all in betting on the balls drawn from the bag given so little information and reason to feel like I could bet on a certain color to be chosen. This affected my answers, as I did not value receiving more information and I preferred to get the certain money rather than make the bet.",8,-4.5,4.0,4.0,0.0,4.0,0.0,4.0,0.7272727272727273,0.0,0.7272727272727273,0.0,0.0,-0.05,-0.05,-2,0,0,-1,-1,averse,1,All
8.875,8.875,8.875,8.875,8.875,7.875,-1.1,-0.05,13,13,13,13,13,9,8,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-16,"It wasn't useful! Because I don't know about the underlying distribution, my best guess is that the true percentage of red chips (for example) is distributed ~u[0,1]. This isn't super helpful because that means that in expectation, any revealed information about the draw has only a 50/50 chance of being right. I made a mistake in one of the questions because I said I'd give up $.5 for information. I thought this would mean I would get to see the true underlying distribution. Fortunately that question wasn't chosen for my payoffs",12,-1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.05,0,0,0,-11,-1,neutral,1,All
18.5,18.5,18.5,9.875,18.5,18.5,-1.1,-0.05,34,34,34,17,34,34,8,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,0,02-16,It was not useful. It did not affect my answer. I was also a bit confused on what the questions were offering during the experiment. I understand now though..,3,8.5,8.625,8.625,0.0,8.625,-8.625,0.0,0.46621621621621623,0.0,0.46621621621621623,0.0,8.625,-1.1,-0.05,-17,0,17,-11,-1,averse,1,All
9.875,9.875,9.875,9.875,7.375,7.375,-1.1,-0.55,17,17,17,17,7,7,8,13,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,1,02-16,"the information provided did not really ever help how much I knew about the actual choice, so i tried to be consistent",22,-0.125,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,-2.5,-1.1,-0.55,0,0,-10,-11,-6,neutral,1,All
9.875,9.875,9.875,9.875,8.875,8.375,-0.55,-1.1,17,17,17,17,13,11,13,8,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-12,Not really,6,-0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.55,-1.1,0,0,-4,-6,-11,neutral,1,All
11.875,9.875,10.125,20.0,20.0,20.0,-0.05,0.05,25,17,18,35,35,35,18,19,0,0,0,1,1,1,0,0,1,B,1.0,0.0,1,0,02-16,It did not affect my answer and I completely ignored it because it was useless.,20,1.875,-8.125,-10.125,2.0,-8.125,0.0,-8.125,-1.0253164556962024,0.16842105263157894,-0.6842105263157895,-2.0,0.0,-0.05,0.05,10,-8,0,-1,0,seeking,1,All
16.0,14.5,14.5,10.125,7.125,6.75,-2.25,-2.25,33,32,32,18,6,5,3,3,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,1,02-16,Although I chose to reduce my winnings to gain information. Looking back it didn't actually effect my answer because the number of each color of balls and chips were unknown.,25,6.0,5.875,4.375,1.5,5.875,3.0,8.875,0.3017241379310345,0.09375,0.3671875,-1.5,-3.0,-2.25,-2.25,-15,-1,-12,-16,-16,averse,1,All
10.125,10.125,10.125,10.125,10.125,10.125,-0.05,-0.05,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,1,0,02-16,"The information had no use to me, as there was no way of telling or even predicting if it was truth or a lie (since we didn't know the composition of the bag with the chips). As such, I considered it useless information and did not take it into consideration, it did not affect my answer.",18,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
11.875,10.875,10.875,8.875,11.875,7.875,-0.05,-0.05,25,21,21,13,25,9,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-19,I ignored the information since i felt it had equal chance of being right or wrong,16,1.875,3.0,2.0,1.0,3.0,-3.0,0.0,0.1839080459770115,0.08421052631578947,0.25263157894736843,-1.0,3.0,-0.05,-0.05,-12,-4,12,-1,-1,averse,1,All
9.875,7.875,10.125,7.875,9.875,1.5,-0.05,-0.05,17,9,18,9,17,1,18,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,0,02-19,I didn't always rely on that information because it could have been equally likely to be a lie so it didn't really affect my answer,10,-0.125,2.0,0.0,2.0,2.0,-2.0,0.0,0.0,0.20253164556962025,0.20253164556962025,-2.0,2.0,-0.05,-0.05,-8,-8,8,-1,-1,averse,1,All
10.125,10.125,20.0,10.875,20.0,10.375,-0.05,-0.05,18,18,35,21,35,19,18,18,0,0,1,0,1,0,0,0,1,B,1.0,0.0,0,1,02-14,It was only affecting my answer when the compositions of the balls was 50:50. Not useful otherwise.,13,0.125,-0.75,-0.75,0.0,-0.75,-9.125,-9.875,-0.07407407407407407,0.0,-0.07407407407407407,0.0,9.125,-0.05,-0.05,3,0,14,-1,-1,seeking,1,All
9.125,7.125,9.125,10.125,8.125,6.25,-0.75,-1.1,14,6,14,18,10,4,11,8,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,1,02-14,"It did not affect my answers, because if I didn't know the distribution of red and green chips I could not determine the likelihood of whether the computer was lying or not.",2,-0.875,-1.0,-3.0,2.0,-1.0,2.0,1.0,-0.42105263157894735,0.2191780821917808,-0.1095890410958904,-2.0,-2.0,-0.75,-1.1,4,-8,-8,-8,-11,seeking,1,All
9.875,18.5,10.125,18.5,18.5,10.125,0.05,0.05,17,34,18,34,34,18,19,19,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,0,02-16,I just ignored the information because I had no way of knowing whether it was true or not.,13,-0.125,-8.625,0.0,-8.625,-8.625,0.0,-8.625,0.0,-0.8734177215189873,-0.8734177215189873,8.625,0.0,0.05,0.05,17,17,0,0,0,seeking,1,All
18.5,18.5,18.5,20.0,18.5,9.875,-0.05,-0.05,34,34,34,35,34,17,18,18,0,0,0,1,0,0,0,0,1,B,1.0,0.0,1,1,02-16,The information did not effect my answer at all,4,8.5,-1.5,-1.5,0.0,-1.5,1.5,0.0,-0.08108108108108109,0.0,-0.08108108108108109,0.0,-1.5,-0.05,-0.05,1,0,-1,-1,-1,neutral,1,All
10.125,11.875,12.375,14.5,12.875,11.875,0.05,-0.05,18,25,27,32,29,25,19,18,0,0,0,0,0,0,0,0,1,B,0.0,1.0,1,1,02-14,"Because the true state of the information was not known, I did not let it affect my answer to a high degree because of this uncertainty. I did not think it was very useful, but that may be a flaw in my logic.",7,0.125,-4.375,-2.625,-1.75,-4.375,1.625,-2.75,-0.22105263157894736,-0.1728395061728395,-0.43209876543209874,1.75,-1.625,0.05,-0.05,14,7,-3,0,-1,seeking,1,All
9.875,9.875,8.875,9.125,8.875,8.875,1.1,0.95,17,17,13,14,13,13,29,28,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-12,It just complicated things and mad me feel more insecure in my answer.,22,-0.125,0.75,0.75,0.0,0.75,0.25,1.0,0.0759493670886076,0.0,0.0759493670886076,0.0,-0.25,1.1,0.95,-3,0,-1,10,9,averse,1,All
10.125,10.125,10.125,11.125,12.125,9.125,0.05,0.05,18,18,18,22,26,14,19,19,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,1,02-16,It was not useful towards my decision because I could not attribute any probability to it.,5,0.125,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,-0.09876543209876543,0.0,-0.09876543209876543,0.0,1.0,0.05,0.05,4,0,4,0,0,seeking,1,All
9.875,9.875,8.875,7.875,8.875,8.875,-1.1,-0.05,17,17,13,9,13,13,8,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-16,No,16,-0.125,2.0,2.0,0.0,2.0,-1.0,1.0,0.20253164556962025,0.0,0.20253164556962025,0.0,1.0,-1.1,-0.05,-8,0,4,-11,-1,averse,1,All
12.125,14.5,11.125,10.125,13.25,10.125,1.1,0.05,26,32,22,18,30,18,29,19,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-14,It made me second guess a lot of choices,14,2.125,2.0,4.375,-2.375,2.0,-3.125,-1.125,0.3017241379310345,-0.1958762886597938,0.16494845360824742,2.375,3.125,1.1,0.05,-8,6,12,10,0,averse,1,All
7.875,7.875,8.875,7.875,7.875,7.125,0.95,-1.1,9,9,13,9,9,6,28,8,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-14,"I felt the information about the chip drawn was too ambiguous to be helpful. After the first choice between information or no information, I realized I would rather just have no information than have the information and lose money.",11,-2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,-1.1,0,0,0,9,-11,neutral,1,All
5.5,20.0,10.375,9.875,10.125,10.125,2.25,1.9,3,35,19,17,18,18,34,33,0,1,0,0,0,0,0,0,0,A,0.0,1.0,1,0,02-16,I feel like because all of this was simulated and not occurring in real time I trusted the information less and would typically go with the opposite color.,17,-4.5,-4.375,10.125,-14.5,-4.375,-0.25,-4.625,0.50625,-2.6363636363636362,-0.7954545454545454,14.5,0.25,2.25,1.9,14,32,1,15,14,seeking,1,All
9.875,10.375,10.125,10.125,10.125,10.125,-0.05,0.05,17,19,18,18,18,18,18,19,0,0,0,0,0,0,0,0,0,A,0.0,1.0,1,0,02-12,Affected my answer in the sense that I was more impartial to the bag of balls in the first place.,7,-0.125,-0.25,0.25,-0.5,-0.25,0.0,-0.25,0.024096385542168676,-0.05063291139240506,-0.02531645569620253,0.5,0.0,-0.05,0.05,1,2,0,-1,0,neutral,1,All
9.875,5.5,7.875,6.75,4.0,6.75,-0.05,-0.05,17,3,9,5,2,5,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-12,The information given made me more apprehensive about making a riskier bet,14,-0.125,3.125,-1.25,4.375,3.125,2.75,5.875,-0.22727272727272727,0.4430379746835443,0.31645569620253167,-4.375,-2.75,-0.05,-0.05,-12,-14,-3,-1,-1,averse,1,All
10.125,10.125,10.125,7.375,10.125,7.125,-0.35,-0.45,18,18,18,7,18,6,15,14,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,1,02-14,"Since it is random I do not think the information was useful. However, I selected the information that would most likely maximize my $ gain. Even though it could have been a lie, I think it affected my answer a little bit because I selected values closer to the $7 dollar range sometimes.",9,0.125,2.75,2.75,0.0,2.75,-2.75,0.0,0.2716049382716049,0.0,0.2716049382716049,0.0,2.75,-0.35,-0.45,-11,0,11,-4,-5,averse,1,All
18.5,18.5,18.5,18.5,18.5,18.5,-0.05,-0.05,34,34,34,34,34,34,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-12,"I do not believe it helped my decision because I did not know whether it was true or not.  Therefore, it was useless.",20,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
9.875,10.125,10.125,9.875,9.875,10.125,-2.25,-4.0,17,18,18,17,17,18,3,1,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,1,02-16,Not useful,7,-0.125,0.0,0.25,-0.25,0.0,0.0,0.0,0.024691358024691357,-0.02531645569620253,0.0,0.25,0.0,-2.25,-4.0,0,1,0,-16,-18,neutral,1,All
10.125,9.875,9.875,6.75,6.75,6.75,-0.05,-0.05,18,17,17,5,5,5,18,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,1,02-19,I usually trusted the information given to me by the computer,7,0.125,3.375,3.125,0.25,3.375,0.0,3.375,0.31645569620253167,0.024691358024691357,0.3333333333333333,-0.25,0.0,-0.05,-0.05,-13,-1,0,-1,-1,averse,1,All
9.875,9.875,9.875,10.125,10.125,12.875,-0.05,-0.05,17,17,17,18,18,29,18,18,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,0,02-14,"No, it didn't affect my answer as it is all just a game of luck anyways.",12,-0.125,-0.25,-0.25,0.0,-0.25,0.0,-0.25,-0.02531645569620253,0.0,-0.02531645569620253,0.0,0.0,-0.05,-0.05,1,0,0,-1,-1,neutral,1,All
8.875,8.625,8.875,7.375,7.875,7.375,-0.05,-0.05,13,12,13,7,9,7,18,18,0,0,0,0,0,0,0,0,1,B,0.0,1.0,0,0,02-12,I mostly disregarded it since I didn't know anything about the chip proportion - swayed by a few cents here or there,5,-1.125,1.5,1.25,0.25,1.5,-0.5,1.0,0.14492753623188406,0.028169014084507043,0.16901408450704225,-0.25,0.5,-0.05,-0.05,-6,-1,2,-1,-1,averse,1,All
10.125,10.125,10.125,9.875,4.0,10.375,-0.05,-0.05,18,18,18,17,2,19,18,18,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,0,02-12,I didn't really alter my behavior based on the information,10,0.125,0.25,0.25,0.0,0.25,5.875,6.125,0.024691358024691357,0.0,0.024691358024691357,0.0,-5.875,-0.05,-0.05,-1,0,-15,-1,-1,neutral,1,All
12.125,10.125,12.125,7.125,7.125,7.125,0.05,-0.05,26,18,26,6,6,6,19,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,0,02-16,"I didn't feel like the information was useful. It did not affect my answer. I would bet on the ball of the color that is shown, but I would not change my payout based off of the information.",8,2.125,5.0,3.0,2.0,5.0,0.0,5.0,0.2962962962962963,0.16494845360824742,0.41237113402061853,-2.0,0.0,0.05,-0.05,-20,-8,0,0,-1,averse,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-0.05,-0.05,17,17,17,17,17,17,18,18,0,0,0,0,0,0,0,0,1,B,0.0,0.0,1,0,02-12,"I did not feel that this information was useful and it did not affect my answer because I did not know the composition of the 100 chips. If the composition of the chips was known AND not 50/50, then the information would've affected my answer.",17,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
12.125,16.0,14.5,10.125,10.625,13.25,-0.05,0.55,26,33,32,18,20,30,18,24,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,0,02-14,not useful,24,2.125,2.0,5.875,-3.875,2.0,-0.5,1.5,0.3671875,-0.31958762886597936,0.16494845360824742,3.875,0.5,-0.05,0.55,-8,7,2,-1,5,averse,1,All
11.875,18.5,14.5,18.5,9.875,7.875,0.05,0.05,25,34,32,34,17,9,19,19,0,0,0,0,0,0,0,0,0,A,0.0,1.0,1,1,02-19,I don't think the information on the chips was necessarily helpful. I often considered the composition of the bag and decided how I wanted to pit the possible winnings against each other. If the composition was unknown I merely considered the what I thought was guaranteed money or not based on a right/left column selection. The chip drawn information was not very useful in my thought process.,14,1.875,-6.625,0.0,-6.625,-6.625,8.625,2.0,0.0,-0.5578947368421052,-0.5578947368421052,6.625,-8.625,0.05,0.05,9,9,-17,0,0,seeking,1,All
10.125,11.125,13.75,10.625,11.875,11.625,-0.35,-0.55,18,22,31,20,25,24,15,13,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,0,02-19,It was not useful and did not affect my answer. I felt that I could not trust it and it didn't offer anything helpul,9,0.125,-0.5,0.5,-1.0,-0.5,-1.25,-1.75,0.0449438202247191,-0.09876543209876543,-0.04938271604938271,1.0,1.25,-0.35,-0.55,2,4,5,-4,-6,seeking,1,All
8.875,8.875,8.875,6.75,5.5,5.5,-0.05,-0.05,13,13,13,5,3,3,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-16,The information was useless because the probability of the chips is unknown. It's equally likely to be a lie as a truth. I never picked information at the cost of winnings.,24,-1.125,2.125,2.125,0.0,2.125,1.25,3.375,0.23943661971830985,0.0,0.23943661971830985,0.0,-1.25,-0.05,-0.05,-8,0,-2,-1,-1,averse,1,All
8.125,8.125,7.625,4.0,4.0,4.0,-1.9,-0.95,10,10,8,2,2,2,4,9,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,1,02-19,It didn't seem like useful information therefore I was more inclined to take a paid amount rather than guess.,2,-1.875,4.125,4.125,0.0,4.125,0.0,4.125,0.5076923076923077,0.0,0.5076923076923077,0.0,0.0,-1.9,-0.95,-8,0,0,-15,-10,averse,1,All
7.375,7.375,7.375,8.125,7.875,7.875,-5.0,-5.0,7,7,7,10,9,9,0,0,0,0,0,0,0,0,1,1,1,B,1.0,1.0,1,1,02-12,Completely useless - didn't affect my decisions at all,8,-2.625,-0.75,-0.75,0.0,-0.75,0.25,-0.5,-0.1016949152542373,0.0,-0.1016949152542373,0.0,-0.25,-5.0,-5.0,3,0,-1,-19,-19,seeking,1,All
7.375,10.875,11.125,11.375,10.125,9.875,0.05,-0.45,7,21,22,23,18,17,19,14,0,0,0,0,0,0,0,0,0,A,0.0,0.0,0,1,02-14,It did not affect my answer,6,-2.625,-4.0,-0.5,-3.5,-4.0,1.25,-2.75,-0.04597701149425287,-0.4745762711864407,-0.5423728813559322,3.5,-1.25,0.05,-0.45,16,14,-5,0,-5,seeking,1,All
9.875,9.875,9.875,8.875,9.875,9.875,-0.55,-0.55,17,17,17,13,17,17,13,13,0,0,0,0,0,0,0,0,1,B,0.0,0.0,0,0,02-12,The information was not useful. Preference was based on trade-off of values I could win more than anything.,19,-0.125,1.0,1.0,0.0,1.0,-1.0,0.0,0.10126582278481013,0.0,0.10126582278481013,0.0,1.0,-0.55,-0.55,-4,0,4,-6,-6,averse,1,All
7.875,7.875,7.875,7.875,7.875,8.625,-2.25,-2.25,9,9,9,9,9,12,3,3,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-12,"It did not affect my answer nor was useful because I did not know whether it was a truth or a lie. Therefore I had no new information to help make my decision, and therefore my answer stayed the same",18,-2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,0,0,0,-16,-16,neutral,1,All
12.375,12.375,11.875,9.875,9.625,11.625,-0.05,-0.05,27,27,25,17,16,24,18,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,1,02-14,"I feel like the information provided was not useful at all, and was not influential in my answer. Because I had no way of knowing whether or not that information was true or not, nor the odds that it was true, I did not find it useful.",23,2.375,2.5,2.5,0.0,2.5,0.25,2.75,0.20202020202020202,0.0,0.20202020202020202,0.0,-0.25,-0.05,-0.05,-10,0,-1,-1,-1,averse,1,All
9.875,7.875,7.875,7.875,7.875,7.875,-0.05,-0.05,17,9,9,9,9,9,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-19,The information was not useful. It did not affect my answer because I had no way of knowing how likely the information was to be true.,8,-0.125,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.20253164556962025,0.20253164556962025,-2.0,0.0,-0.05,-0.05,-8,-8,0,-1,-1,averse,1,All
